city,size_sqm,rooms,age_years,floor,has_balcony,has_parking,has_elevator,distance_cbd_km,district_score,price_per_sqm,total_price_eur,monthly_rent_eur,city_encoded
Munich,85.7,3,76,11,1,1,1,1.44,1.92,9599.89,822500.0,2938.0,6
Hamburg,58.8,2,42,6,1,0,1,11.2,2.29,5131.88,302000.0,1079.0,4
Berlin,119.4,4,38,7,1,0,1,11.44,8.76,6114.13,729900.0,2607.0,0
Berlin,45.2,2,60,4,1,1,1,0.5,4.59,5875.22,265300.0,948.0,0
Hamburg,98.0,3,41,5,0,0,1,0.5,2.52,7010.57,686900.0,2453.0,4
Hamburg,100.0,3,78,11,0,0,1,29.18,5.6,4830.73,483100.0,1726.0,4
Hamburg,58.2,2,17,0,1,0,0,1.72,4.75,6654.99,387500.0,1384.0,4
Cologne,109.8,4,22,5,1,0,1,13.81,2.97,5431.88,596500.0,2130.0,1
Leipzig,68.7,2,53,11,0,0,1,6.6,7.49,4249.02,292100.0,1043.0,5
Frankfurt,82.2,3,29,7,1,0,1,2.46,6.68,8756.55,719900.0,2571.0,3
Munich,81.5,3,57,2,0,0,0,1.11,1.9,8146.51,664000.0,2371.0,6
Stuttgart,71.6,2,67,10,1,0,1,5.49,9.33,7658.33,548700.0,1960.0,7
Munich,95.3,3,66,0,0,1,0,4.19,6.03,9755.12,929400.0,3319.0,6
Frankfurt,94.8,3,70,10,1,0,1,9.6,3.25,6710.49,636400.0,2273.0,3
Berlin,31.3,1,17,3,1,1,0,18.76,2.86,4151.87,129900.0,464.0,0
Berlin,107.6,4,6,0,0,0,0,13.09,2.22,4875.43,524600.0,1874.0,0
Leipzig,33.4,1,39,7,0,1,1,2.57,4.82,3120.23,104300.0,373.0,5
Stuttgart,100.8,3,69,4,1,0,1,16.89,2.22,3921.35,395300.0,1412.0,7
Cologne,103.2,3,64,0,0,1,0,14.34,4.74,4958.62,511600.0,1827.0,1
Frankfurt,47.7,2,67,7,0,0,1,21.18,2.34,5328.09,254300.0,908.0,3
Berlin,64.7,2,48,8,1,1,1,4.91,6.91,6470.16,418800.0,1496.0,0
Berlin,47.4,2,51,9,0,0,1,11.71,8.07,5809.68,275100.0,983.0,0
Munich,69.6,2,28,1,1,0,0,7.17,5.95,10638.93,740800.0,2646.0,6
Hamburg,67.3,2,20,8,0,0,1,2.97,7.12,8458.49,569200.0,2033.0,4
Cologne,94.5,3,77,7,0,1,1,40.0,9.45,3125.72,295400.0,1055.0,1
Cologne,107.8,4,8,6,1,1,1,0.5,6.75,7171.33,772800.0,2760.0,1
Munich,109.9,4,46,2,1,0,0,1.42,4.28,9446.57,1038100.0,3708.0,6
Leipzig,60.9,2,75,1,1,1,0,17.85,5.05,2826.89,172300.0,615.0,5
Cologne,69.8,2,41,6,1,1,1,0.5,8.74,6566.75,458200.0,1636.0,1
Hamburg,32.9,1,50,4,0,1,1,17.43,2.18,5791.84,190600.0,681.0,4
Hamburg,54.9,2,55,5,1,1,1,10.05,3.93,6939.24,380600.0,1359.0,4
Frankfurt,99.1,3,50,3,1,1,0,0.5,6.2,8806.03,872900.0,3117.0,3
Munich,115.4,4,69,1,0,0,0,4.49,7.09,9542.49,1101100.0,3933.0,6
Munich,44.1,1,19,8,0,1,1,11.23,7.87,10646.16,469900.0,1678.0,6
Cologne,60.2,2,26,2,1,0,0,7.0,3.86,5219.07,314100.0,1122.0,1
Berlin,74.3,2,37,11,0,1,1,21.97,2.31,4190.83,311500.0,1113.0,0
Berlin,82.0,3,71,6,0,0,1,16.18,9.59,5250.19,430500.0,1538.0,0
Berlin,54.8,2,64,7,0,0,1,3.24,1.69,4870.83,266700.0,953.0,0
Berlin,85.6,3,53,1,0,0,0,0.71,1.86,3711.19,317700.0,1135.0,0
Stuttgart,63.2,2,23,5,0,1,1,23.1,5.45,5845.32,369200.0,1318.0,7
Cologne,74.6,2,46,10,1,1,1,5.83,8.37,7424.24,554100.0,1979.0,1
Frankfurt,88.7,3,70,7,1,0,1,0.62,7.97,7652.91,678500.0,2423.0,3
Berlin,75.2,3,62,6,0,1,1,13.57,9.44,4053.68,304700.0,1088.0,0
Frankfurt,64.1,2,56,10,0,1,1,16.23,2.27,5961.08,382000.0,1364.0,3
Frankfurt,72.3,2,54,2,0,1,0,8.16,4.38,5656.75,408800.0,1460.0,3
Berlin,72.8,2,59,0,0,0,0,4.75,3.54,3173.27,231000.0,825.0,0
Frankfurt,65.7,2,61,5,1,1,1,8.68,8.75,8427.17,554100.0,1979.0,3
Frankfurt,68.5,2,29,7,0,0,1,9.81,5.4,8710.79,597000.0,2132.0,3
Hamburg,115.0,4,21,5,0,1,1,17.88,1.24,6799.53,781700.0,2792.0,4
Hamburg,89.0,3,74,4,0,0,1,24.96,7.37,3335.47,296900.0,1060.0,4
Berlin,67.6,2,28,10,1,0,1,5.78,4.5,5827.67,394000.0,1407.0,0
Munich,92.4,3,40,11,1,1,1,12.82,5.78,10031.4,927100.0,3311.0,6
Hamburg,66.7,2,41,7,0,0,1,26.71,9.04,5056.75,337100.0,1204.0,4
Frankfurt,104.3,3,64,1,1,0,0,1.31,3.31,6811.88,710700.0,2538.0,3
Stuttgart,84.2,3,30,11,0,1,1,0.5,3.16,7108.35,598800.0,2139.0,7
Hamburg,72.3,2,29,0,1,0,0,16.26,3.37,5069.26,366600.0,1309.0,4
Berlin,86.2,3,17,0,0,0,0,1.74,4.04,4180.89,360400.0,1287.0,0
Berlin,35.7,1,16,3,0,0,0,0.5,1.97,4946.56,176700.0,631.0,0
Hamburg,46.8,2,37,5,0,0,1,1.4,7.27,7638.58,357700.0,1278.0,4
Berlin,45.2,2,13,8,1,0,1,3.88,2.87,5948.73,268600.0,959.0,0
Hamburg,78.6,3,78,0,0,0,0,1.98,9.34,7243.61,569200.0,2033.0,4
Leipzig,118.3,4,55,11,0,1,1,2.91,2.94,3839.11,454200.0,1622.0,5
Hamburg,130.8,4,21,0,1,0,0,29.61,3.3,4656.91,609000.0,2175.0,4
Frankfurt,91.0,3,66,4,0,0,1,9.75,3.67,5438.83,494700.0,1767.0,3
Hamburg,87.5,3,55,9,1,0,1,9.96,7.92,6105.38,534300.0,1908.0,4
Frankfurt,30.0,1,18,4,1,0,1,0.8,4.85,7558.29,226500.0,809.0,3
Hamburg,61.4,2,56,4,1,1,1,10.54,8.37,8147.35,500500.0,1788.0,4
Leipzig,55.3,2,43,9,0,1,1,10.76,8.06,4613.75,255200.0,911.0,5
Frankfurt,59.5,2,34,5,1,0,1,8.62,9.37,8271.08,492000.0,1757.0,3
Leipzig,70.8,2,0,7,0,0,1,2.07,7.81,4893.28,346400.0,1237.0,5
Düsseldorf,63.2,2,51,2,1,0,0,4.4,1.47,5834.72,368700.0,1317.0,2
Berlin,25.5,1,69,8,1,1,1,14.98,8.54,4713.26,120300.0,430.0,0
Berlin,93.7,3,36,0,0,0,0,8.87,9.44,4797.93,449600.0,1606.0,0
Berlin,48.2,2,64,3,0,0,0,10.56,9.94,4831.12,232800.0,831.0,0
Berlin,81.0,3,50,8,0,0,1,7.08,2.13,3206.51,259700.0,927.0,0
Berlin,126.9,4,0,7,1,1,1,4.78,6.52,6617.68,839500.0,2998.0,0
Cologne,52.0,2,20,9,1,1,1,11.39,2.8,5860.55,304800.0,1089.0,1
Berlin,25.0,1,52,8,0,1,1,0.56,3.36,5339.51,133500.0,477.0,0
Munich,67.8,2,15,0,0,0,0,8.95,7.71,9549.19,647900.0,2314.0,6
Stuttgart,102.5,3,60,8,1,0,1,40.0,9.8,5565.06,570600.0,2038.0,7
Berlin,124.0,4,53,2,1,0,0,12.12,6.35,5426.02,672600.0,2402.0,0
Stuttgart,44.3,1,39,10,0,1,1,2.75,8.66,8809.01,389900.0,1392.0,7
Munich,87.4,3,25,11,1,1,1,2.6,1.08,10626.66,929000.0,3318.0,6
Berlin,63.4,2,79,9,0,0,1,8.8,1.33,3354.02,212500.0,759.0,0
Cologne,72.4,2,64,8,1,0,1,18.1,6.37,5652.03,408900.0,1460.0,1
Hamburg,141.1,5,73,0,1,0,0,6.9,4.5,5803.19,818900.0,2925.0,4
Düsseldorf,37.4,1,63,0,0,0,0,6.0,9.01,5019.43,187900.0,671.0,2
Cologne,81.3,3,42,8,1,0,1,1.4,3.72,5438.71,442400.0,1580.0,1
Stuttgart,86.7,3,16,10,1,0,1,10.05,4.89,6728.87,583300.0,2083.0,7
Munich,102.1,3,58,5,0,0,1,9.69,5.75,9220.54,941800.0,3364.0,6
Berlin,77.4,3,22,3,1,0,0,27.28,3.46,3654.94,283100.0,1011.0,0
Cologne,82.7,3,6,6,1,1,1,2.86,9.18,7881.16,651800.0,2328.0,1
Stuttgart,65.2,2,43,4,0,0,1,11.3,5.18,7086.36,462100.0,1650.0,7
Leipzig,81.7,3,52,9,1,0,1,4.55,4.82,2896.92,236800.0,846.0,5
Frankfurt,66.4,2,70,6,1,0,1,6.54,8.65,7797.02,517900.0,1850.0,3
Munich,90.5,3,78,7,1,1,1,13.56,3.81,8647.95,783000.0,2796.0,6
Cologne,65.8,2,33,7,0,1,1,2.01,8.36,7044.37,463200.0,1654.0,1
Munich,84.4,3,45,0,0,0,0,3.36,2.1,9483.66,800700.0,2860.0,6
Düsseldorf,74.3,2,67,7,0,0,1,11.87,2.65,3432.6,254900.0,910.0,2
Stuttgart,103.2,3,77,5,1,0,1,6.76,9.56,5868.02,605300.0,2162.0,7
Frankfurt,73.7,2,77,3,0,1,0,0.78,8.58,7358.5,542400.0,1937.0,3
Cologne,30.7,1,15,11,0,1,1,4.5,4.49,7654.18,234800.0,839.0,1
Cologne,106.5,4,70,7,1,1,1,7.07,6.75,6741.5,718300.0,2565.0,1
Berlin,52.4,2,18,2,0,0,0,19.22,9.49,5840.33,305800.0,1092.0,0
Düsseldorf,58.7,2,1,3,0,1,0,1.67,2.91,5501.51,322700.0,1152.0,2
Frankfurt,60.1,2,9,5,0,1,1,13.12,1.53,6348.36,381600.0,1363.0,3
Stuttgart,109.4,4,49,10,0,1,1,1.12,5.84,6577.93,719400.0,2569.0,7
Munich,25.0,1,11,6,1,0,1,2.22,2.28,10558.34,264000.0,943.0,6
Düsseldorf,153.4,5,69,3,1,0,0,2.23,2.69,4025.18,617600.0,2206.0,2
Frankfurt,101.4,3,21,3,1,0,0,16.8,9.02,8027.37,814000.0,2907.0,3
Berlin,80.6,3,31,6,1,0,1,1.78,1.07,4171.33,336100.0,1200.0,0
Düsseldorf,73.6,2,0,5,1,0,1,12.37,8.35,7783.15,573100.0,2047.0,2
Berlin,82.1,3,53,10,0,1,1,4.96,5.65,6277.46,515600.0,1842.0,0
Munich,88.0,3,57,7,1,1,1,40.0,6.03,7025.43,618400.0,2209.0,6
Leipzig,91.1,3,69,0,1,1,0,14.62,7.05,3438.21,313300.0,1119.0,5
Leipzig,88.9,3,17,9,0,0,1,10.77,4.88,3493.62,310500.0,1109.0,5
Hamburg,77.2,3,5,10,1,0,1,16.37,2.04,6392.34,493700.0,1763.0,4
Hamburg,70.1,2,44,6,0,1,1,8.04,1.93,6182.37,433200.0,1547.0,4
Frankfurt,71.2,2,22,11,0,0,1,14.85,7.79,7379.03,525500.0,1877.0,3
Munich,70.1,2,22,6,1,0,1,2.42,2.99,10314.19,723300.0,2583.0,6
Munich,103.3,3,25,10,1,1,1,0.82,1.25,10677.14,1103400.0,3941.0,6
Cologne,89.8,3,76,6,1,1,1,7.66,9.82,5648.35,507400.0,1812.0,1
Cologne,25.0,1,6,6,0,0,1,4.56,9.82,6876.27,171900.0,614.0,1
Stuttgart,91.4,3,78,9,1,1,1,4.45,4.4,5927.86,541800.0,1935.0,7
Stuttgart,79.9,3,43,9,0,1,1,5.99,1.23,7050.19,563100.0,2011.0,7
Berlin,74.5,2,26,7,0,1,1,3.59,7.55,6306.47,470000.0,1679.0,0
Frankfurt,65.3,2,25,8,1,1,1,7.87,8.48,8365.48,546200.0,1951.0,3
Berlin,103.1,3,78,8,0,0,1,0.5,2.13,5336.32,550200.0,1965.0,0
Hamburg,98.7,3,35,1,1,1,0,28.02,2.22,4744.35,468200.0,1672.0,4
Frankfurt,55.7,2,54,6,0,0,1,20.69,8.4,5734.57,319300.0,1140.0,3
Düsseldorf,85.2,3,63,6,1,0,1,21.9,9.3,4571.29,389400.0,1391.0,2
Munich,50.7,2,56,3,0,1,0,3.63,8.12,9436.28,478500.0,1709.0,6
Berlin,40.5,1,68,8,1,0,1,6.07,2.81,4948.12,200400.0,716.0,0
Berlin,59.3,2,60,7,0,1,1,24.66,4.7,2621.6,155500.0,556.0,0
Cologne,96.6,3,1,11,1,1,1,18.61,6.41,7400.32,714600.0,2552.0,1
Hamburg,98.8,3,54,0,1,1,0,12.49,2.44,5697.32,563100.0,2011.0,4
Berlin,87.8,3,79,1,0,1,0,4.18,2.9,3836.13,336900.0,1203.0,0
Berlin,93.1,3,37,1,1,0,0,6.65,3.55,4705.49,438200.0,1565.0,0
Cologne,87.9,3,79,11,0,0,1,12.6,5.59,4787.49,420800.0,1503.0,1
Berlin,59.0,2,77,11,0,0,1,2.55,5.6,4777.54,281700.0,1006.0,0
Stuttgart,85.8,3,28,10,1,0,1,7.88,8.33,7337.88,629600.0,2248.0,7
Cologne,95.0,3,25,7,1,0,1,14.08,7.78,6705.4,637100.0,2275.0,1
Berlin,93.9,3,34,0,1,0,0,9.83,9.22,5833.75,547500.0,1955.0,0
Berlin,104.7,3,78,3,0,1,0,5.22,8.5,4395.45,460300.0,1644.0,0
Leipzig,92.7,3,66,9,1,1,1,7.03,3.28,2902.37,269100.0,961.0,5
Munich,83.8,3,28,11,1,1,1,35.85,3.98,7414.14,621200.0,2219.0,6
Munich,101.8,3,33,4,1,1,1,7.37,5.5,10944.22,1113600.0,3977.0,6
Stuttgart,74.3,2,40,8,1,0,1,12.32,1.13,5870.72,436400.0,1559.0,7
Leipzig,53.0,2,40,6,0,0,1,10.37,9.14,3273.73,173400.0,619.0,5
Leipzig,70.9,2,22,7,1,0,1,9.67,1.4,4627.02,328200.0,1172.0,5
Cologne,56.4,2,70,10,0,1,1,10.08,3.9,6418.63,361900.0,1292.0,1
Munich,58.1,2,2,8,0,0,1,4.85,6.12,11083.98,644200.0,2301.0,6
Berlin,71.4,2,57,6,0,1,1,5.14,5.66,4975.12,355200.0,1268.0,0
Cologne,55.2,2,31,4,1,0,1,5.05,6.89,6518.76,359800.0,1285.0,1
Hamburg,67.3,2,30,4,0,0,1,0.5,5.75,7041.96,473900.0,1693.0,4
Frankfurt,27.7,1,42,9,0,0,1,2.21,3.06,7770.46,214900.0,768.0,3
Düsseldorf,80.3,3,6,10,1,0,1,1.34,2.81,7266.1,583700.0,2085.0,2
Berlin,75.0,3,0,5,1,0,1,17.4,9.17,6350.4,476500.0,1702.0,0
Frankfurt,54.6,2,60,4,1,1,1,2.57,3.38,8337.34,455000.0,1625.0,3
Berlin,91.5,3,13,11,1,1,1,1.19,3.53,6532.4,597600.0,2134.0,0
Frankfurt,98.4,3,51,10,1,0,1,1.02,4.72,7397.95,728200.0,2601.0,3
Berlin,34.8,1,5,8,0,1,1,9.63,2.25,6240.39,217200.0,776.0,0
Berlin,55.9,2,9,2,1,0,0,0.5,5.57,6110.58,341800.0,1221.0,0
Berlin,55.8,2,70,2,1,1,0,5.1,6.99,6271.75,349800.0,1249.0,0
Hamburg,51.5,2,29,6,0,0,1,1.01,8.07,8634.63,444700.0,1588.0,4
Cologne,95.7,3,20,6,1,1,1,15.16,7.4,6157.02,589500.0,2105.0,1
Hamburg,70.2,2,59,5,0,0,1,25.45,2.33,3248.48,227900.0,814.0,4
Leipzig,68.4,2,73,2,1,0,0,25.51,5.1,1500.0,102600.0,410.0,5
Munich,25.0,1,62,6,0,0,1,4.67,1.35,8516.12,212900.0,760.0,6
Munich,90.9,3,41,4,1,0,1,8.27,1.16,9387.72,853200.0,3047.0,6
Düsseldorf,44.0,1,50,6,0,0,1,7.32,4.96,6268.42,275900.0,985.0,2
Munich,76.5,3,63,1,0,0,0,3.45,3.28,8647.68,661500.0,2363.0,6
Leipzig,81.9,3,75,5,1,1,1,4.7,7.15,3277.97,268600.0,959.0,5
Berlin,109.0,4,55,7,1,1,1,0.53,7.52,6466.27,704900.0,2518.0,0
Leipzig,42.3,1,79,0,0,1,0,12.71,9.06,2688.35,113700.0,406.0,5
Berlin,25.0,1,40,3,1,1,0,2.2,7.85,7188.96,179700.0,642.0,0
Düsseldorf,79.6,3,31,10,0,1,1,4.94,1.43,6930.83,551700.0,1970.0,2
Hamburg,120.0,4,14,0,0,0,0,5.24,4.34,6253.61,750500.0,2680.0,4
Leipzig,106.0,4,61,0,1,0,0,6.58,3.46,2726.29,288900.0,1032.0,5
Berlin,80.2,3,26,9,1,1,1,13.62,4.48,5181.26,415800.0,1485.0,0
Hamburg,62.7,2,27,11,1,1,1,9.42,2.44,6846.51,429300.0,1533.0,4
Leipzig,95.2,3,63,10,1,0,1,8.7,1.88,3279.26,312100.0,1115.0,5
Hamburg,50.7,2,58,7,0,0,1,5.98,5.69,6499.61,329300.0,1176.0,4
Hamburg,86.9,3,57,6,0,0,1,0.81,7.48,7712.37,670300.0,2394.0,4
Cologne,87.6,3,1,11,1,1,1,4.11,7.32,8236.86,721900.0,2578.0,1
Frankfurt,101.5,3,35,9,1,0,1,25.23,5.06,6124.31,621600.0,2220.0,3
Hamburg,144.0,5,70,0,1,1,0,40.0,5.7,3985.88,573900.0,2050.0,4
Hamburg,84.8,3,12,10,1,1,1,10.49,5.65,8235.61,698500.0,2495.0,4
Düsseldorf,62.3,2,14,1,0,1,0,2.07,7.22,6486.86,404000.0,1443.0,2
Berlin,74.4,2,59,3,1,0,0,0.86,1.43,4833.26,359400.0,1284.0,0
Munich,30.8,1,21,0,0,0,0,4.29,7.39,9901.56,304700.0,1088.0,6
Leipzig,57.6,2,62,2,0,0,0,15.54,6.24,1500.0,86400.0,346.0,5
Düsseldorf,64.8,2,74,7,0,0,1,10.24,2.78,5016.75,324900.0,1160.0,2
Frankfurt,61.9,2,73,7,1,1,1,17.23,1.44,5270.61,326200.0,1165.0,3
Hamburg,78.8,3,24,7,0,0,1,7.65,1.98,7232.05,569900.0,2036.0,4
Munich,54.4,2,47,5,0,0,1,1.12,5.72,10815.65,588800.0,2103.0,6
Berlin,103.0,3,42,5,0,0,1,0.98,7.83,5770.53,594500.0,2123.0,0
Frankfurt,75.0,3,37,4,1,1,1,0.5,4.01,8709.15,653200.0,2333.0,3
Munich,74.8,2,40,8,1,0,1,6.7,4.41,9844.78,736100.0,2629.0,6
Hamburg,66.8,2,44,3,0,1,0,2.23,9.41,7856.21,524800.0,1874.0,4
Berlin,78.9,3,39,9,1,0,1,10.61,2.92,5264.9,415300.0,1483.0,0
Leipzig,95.6,3,16,11,1,0,1,9.27,1.93,4927.85,471200.0,1683.0,5
Leipzig,53.3,2,56,11,0,0,1,3.06,4.09,3973.81,211900.0,757.0,5
Cologne,58.5,2,1,11,1,0,1,1.56,7.71,7757.2,454200.0,1622.0,1
Hamburg,67.4,2,61,6,1,1,1,0.86,6.63,7845.09,528800.0,1889.0,4
Munich,41.4,1,8,0,1,0,0,10.69,4.74,8972.16,371000.0,1325.0,6
Stuttgart,54.5,2,67,8,0,0,1,4.79,9.68,7288.65,397400.0,1419.0,7
Cologne,63.1,2,16,6,1,1,1,3.13,7.61,8006.94,505200.0,1804.0,1
Berlin,96.9,3,49,9,0,1,1,15.54,1.56,4379.12,424200.0,1515.0,0
Düsseldorf,81.6,3,39,11,1,1,1,7.2,7.7,7732.67,630700.0,2253.0,2
Stuttgart,79.8,3,57,8,1,0,1,5.84,1.22,4382.75,349900.0,1250.0,7
Leipzig,96.3,3,74,6,0,0,1,10.88,6.85,1985.96,191200.0,683.0,5
Cologne,71.6,2,20,1,1,1,0,13.52,2.89,6329.91,453000.0,1618.0,1
Hamburg,84.8,3,17,5,0,1,1,9.27,7.27,7688.1,651700.0,2327.0,4
Frankfurt,72.4,2,54,9,1,1,1,4.64,3.79,8027.21,581300.0,2076.0,3
Düsseldorf,81.6,3,28,11,1,0,1,3.82,8.86,7175.07,585700.0,2092.0,2
Düsseldorf,60.4,2,23,10,1,1,1,11.82,4.03,6309.26,381300.0,1362.0,2
Berlin,25.0,1,73,3,1,1,0,5.84,6.58,6273.76,156800.0,560.0,0
Berlin,71.6,2,16,2,0,0,0,9.75,3.57,4716.76,337900.0,1207.0,0
Munich,110.6,4,17,1,0,1,0,17.69,9.25,10441.05,1154500.0,4123.0,6
Stuttgart,98.2,3,41,5,1,1,1,19.81,8.03,6387.08,626900.0,2239.0,7
Leipzig,99.1,3,44,7,0,0,1,2.6,3.19,3495.79,346600.0,1238.0,5
Berlin,105.9,4,16,5,0,0,1,1.66,9.54,7009.19,742300.0,2651.0,0
Hamburg,77.2,3,72,8,1,1,1,2.42,4.21,5894.21,455100.0,1625.0,4
Frankfurt,79.9,3,13,4,1,0,1,11.13,6.87,8145.51,651100.0,2325.0,3
Leipzig,59.6,2,48,1,0,0,0,3.7,7.69,3159.08,188200.0,672.0,5
Stuttgart,67.1,2,28,7,0,0,1,1.52,1.21,7296.97,489600.0,1749.0,7
Stuttgart,90.4,3,3,8,0,0,1,0.83,9.63,7937.66,717500.0,2563.0,7
Frankfurt,105.1,4,19,9,0,1,1,3.17,4.1,7933.29,833800.0,2978.0,3
Frankfurt,71.5,2,46,3,0,0,0,1.17,2.71,8099.45,579200.0,2069.0,3
Munich,63.7,2,8,5,1,0,1,1.36,8.66,12257.36,781300.0,2791.0,6
Berlin,75.0,3,76,10,1,1,1,9.21,7.33,4919.59,369000.0,1318.0,0
Düsseldorf,90.0,3,78,9,1,0,1,0.5,1.78,5520.37,497000.0,1775.0,2
Stuttgart,38.9,1,26,7,0,0,1,1.0,2.05,5735.34,223100.0,797.0,7
Leipzig,25.0,1,14,8,0,1,1,14.88,7.44,4394.61,109900.0,392.0,5
Leipzig,61.2,2,18,11,0,0,1,14.91,1.67,2379.71,145700.0,520.0,5
Hamburg,44.5,1,51,4,0,0,1,3.19,9.25,8607.15,382900.0,1367.0,4
Cologne,62.3,2,25,11,0,1,1,0.74,7.67,7674.9,478100.0,1708.0,1
Leipzig,71.3,2,25,5,0,1,1,9.77,4.02,3958.79,282300.0,1008.0,5
Stuttgart,63.7,2,25,10,1,1,1,3.57,4.27,8102.06,515800.0,1842.0,7
Munich,111.3,4,45,3,0,1,0,0.5,5.56,10957.5,1219700.0,4356.0,6
Frankfurt,83.2,3,48,4,0,1,1,1.37,4.25,7085.4,589300.0,2105.0,3
Berlin,82.5,3,52,6,1,1,1,1.18,8.05,6667.74,550200.0,1965.0,0
Leipzig,90.6,3,2,8,0,1,1,7.12,9.77,5278.54,478000.0,1707.0,5
Hamburg,46.5,2,65,9,0,0,1,18.27,6.26,6941.65,323000.0,1154.0,4
Munich,101.0,3,41,10,1,0,1,12.6,5.01,8421.18,850400.0,3037.0,6
Cologne,73.1,2,18,5,1,1,1,6.33,3.0,5943.72,434500.0,1552.0,1
Hamburg,91.8,3,16,5,0,0,1,4.39,6.88,7737.58,710000.0,2536.0,4
Munich,48.2,2,32,7,0,0,1,7.71,7.17,10401.77,501400.0,1791.0,6
Berlin,36.2,1,75,10,0,0,1,4.69,7.17,5234.46,189300.0,676.0,0
Cologne,95.4,3,48,3,1,0,0,2.26,1.24,4909.23,468600.0,1673.0,1
Hamburg,84.4,3,55,2,1,0,0,9.1,9.09,6801.49,574100.0,2050.0,4
Cologne,52.4,2,62,6,1,1,1,16.52,4.04,4886.6,256300.0,915.0,1
Hamburg,53.3,2,2,4,1,1,1,3.73,7.7,9219.83,491000.0,1754.0,4
Stuttgart,103.1,3,48,1,1,1,0,14.74,7.84,7200.28,742600.0,2652.0,7
Hamburg,45.3,2,54,1,0,1,0,4.51,6.85,8004.04,362300.0,1294.0,4
Hamburg,116.1,4,25,10,1,0,1,4.1,4.55,7921.93,919500.0,3284.0,4
Düsseldorf,52.5,2,71,5,1,0,1,0.5,6.48,5916.38,310500.0,1109.0,2
Frankfurt,91.0,3,51,7,1,0,1,9.51,1.36,6057.34,551000.0,1968.0,3
Berlin,66.8,2,6,0,1,1,0,13.18,7.86,5339.31,356600.0,1274.0,0
Berlin,90.1,3,45,10,0,0,1,8.71,1.9,5126.11,461800.0,1649.0,0
Cologne,61.4,2,45,5,0,0,1,1.31,4.57,5650.86,346900.0,1239.0,1
Hamburg,70.9,2,15,11,0,1,1,0.87,1.93,8160.44,578800.0,2067.0,4
Cologne,76.0,3,23,1,1,0,0,6.81,8.53,6535.9,496900.0,1775.0,1
Munich,49.9,2,60,1,1,1,0,4.11,5.95,9554.37,477200.0,1704.0,6
Berlin,93.5,3,53,6,1,1,1,4.48,7.22,5681.95,531400.0,1898.0,0
Berlin,62.2,2,61,9,1,0,1,27.49,7.14,3623.13,225200.0,804.0,0
Munich,69.3,2,0,0,0,0,0,10.3,8.57,10811.11,749000.0,2675.0,6
Hamburg,50.1,2,48,5,1,1,1,4.25,2.19,6900.68,346000.0,1236.0,4
Frankfurt,25.0,1,24,6,0,0,1,0.5,6.94,7221.57,180500.0,645.0,3
Frankfurt,70.2,2,9,7,1,0,1,0.5,6.18,8209.23,576500.0,2059.0,3
Düsseldorf,135.3,5,79,6,0,0,1,9.24,1.28,3992.71,540300.0,1930.0,2
Munich,94.6,3,15,5,0,1,1,14.55,2.81,9644.19,912500.0,3259.0,6
Frankfurt,74.5,2,57,8,0,0,1,9.84,3.41,6581.56,490400.0,1752.0,3
Stuttgart,68.4,2,71,2,0,1,0,4.17,1.65,5125.86,350800.0,1253.0,7
Frankfurt,75.6,3,28,10,0,1,1,0.5,4.19,8081.02,610600.0,2181.0,3
Hamburg,88.7,3,5,5,0,0,1,27.39,1.24,4934.78,437600.0,1563.0,4
Düsseldorf,45.5,2,15,3,1,1,0,34.34,5.98,4869.52,221500.0,791.0,2
Leipzig,102.9,3,19,1,1,0,0,6.38,2.9,3595.32,369800.0,1321.0,5
Berlin,92.9,3,79,0,0,0,0,0.59,3.58,3862.16,358700.0,1281.0,0
Düsseldorf,93.0,3,70,11,0,1,1,6.23,9.19,6020.01,559600.0,1999.0,2
Frankfurt,86.0,3,77,11,1,1,1,17.83,5.53,6364.99,547100.0,1954.0,3
Munich,75.5,3,42,0,1,0,0,9.12,3.42,8672.68,654700.0,2338.0,6
Frankfurt,91.8,3,25,10,0,1,1,10.18,6.39,8157.38,749000.0,2675.0,3
Leipzig,89.8,3,77,9,1,1,1,0.71,2.82,4394.33,394600.0,1409.0,5
Frankfurt,66.1,2,70,2,1,1,0,0.9,1.67,5777.5,382200.0,1365.0,3
Munich,60.7,2,32,3,1,0,0,1.09,1.19,10363.11,628600.0,2245.0,6
Hamburg,77.5,3,25,1,0,1,0,18.78,9.56,7200.6,558400.0,1994.0,4
Munich,113.7,4,44,11,1,0,1,5.97,7.52,11419.99,1298700.0,4638.0,6
Berlin,44.0,1,62,10,0,0,1,12.55,8.2,4746.84,209000.0,746.0,0
Berlin,38.3,1,66,10,1,1,1,0.98,9.83,5971.07,228800.0,817.0,0
Berlin,79.1,3,51,10,0,1,1,21.01,9.38,5294.33,418900.0,1496.0,0
Berlin,76.3,3,67,0,0,0,0,13.77,7.63,4838.07,369000.0,1318.0,0
Berlin,79.3,3,25,3,1,0,0,2.04,7.25,5605.01,444700.0,1588.0,0
Hamburg,81.1,3,74,6,1,0,1,16.58,4.03,4824.84,391300.0,1397.0,4
Berlin,69.4,2,1,9,1,1,1,2.45,1.94,7033.14,488200.0,1744.0,0
Munich,112.2,4,13,10,1,0,1,1.84,6.16,11169.01,1253700.0,4477.0,6
Düsseldorf,35.0,1,29,5,0,0,1,2.45,6.19,7628.79,266800.0,953.0,2
